"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","25","296-2061-5-ND","CD4066BE","IC BILATERAL SW 1 X 1:1 14DIP","","25","0","0.50840","12.71"
"2","25","296-1391-5-ND","LM324N","IC OPAMP GP 4 CIRCUIT 14DIP","","25","0","0.39160","9.79"
"3","25","296-1393-5-ND","LM339N","IC QUAD DIFF COMPARATOR 14-DIP","","25","0","0.38600","9.65"
"4","25","296-43960-5-ND","LM386N-4/NOPB","IC AMP CLASS AB MONO 1W 8DIP","","25","0","1.27320","31.83"
"5","25","296-13869-5-ND","LM317KCS","IC REG LIN POS ADJ 1.5A TO220-3","","25","0","0.74280","18.57"
"6","1000","PPC1.69KYCT-ND","SFR2500001691FR500","RES 1.69K OHM 0.4W 1% AXIAL","","1000","0","0.01854","18.54"
"7","100","2368-1N4001-ND","1N4001","R-SI 50V 1A","","100","0","0.07470","7.47"
"8","100","2368-1N914-ND","1N914","D-SI 100V 200MA DO-35","","100","0","0.04150","4.15"
"9","100","399-4264-ND","C320C104K5R5TA","CAP CER 0.1UF 50V X7R RADIAL","","100","0","0.08580","8.58"
"10","100","2368-90130-ND","90130","CAP CER 300PF 1KV Y5P RADIAL","","100","0","0.14110","14.11"
"11","100","399-13913-1-ND","C315C102K1R5TA7301","CAP CER 1000PF 100V X7R RADIAL","","100","0","0.08930","8.93"
"12","100","478-11561-1-ND","TAP105M035SRW","CAP TANT 1UF 20% 35V RADIAL","","100","0","0.21320","21.32"
"13","100","478-7368-1-ND","TAP106K035CRW","CAP TANT 10UF 10% 35V RADIAL","","100","0","0.44750","44.75"
"14","100","1189-2268-ND","35ZLJ100M6.3X11","CAP ALUM 100UF 20% 35V RADIAL","","100","0","0.15800","15.80"
"15","100","1189-3752-1-ND","35ZLH330MEFCT810X12.5","CAP ALUM 330UF 20% 35V RADIAL","","100","0","0.26950","26.95"
"16","25","CT20EP503-ND","CT20EP503","TRIMMER 50K OHM 0.5W PC PIN SIDE","","25","0","1.39160","34.79"
"17","25","PTD902-2215K-B104-ND","PTD902-2215K-B104","POT 100K OHM 1/20W CARBON LINEAR","","25","0","2.18240","54.56"
"18","1000","CF14JT100KCT-ND","CF14JT100K","RES 100K OHM 5% 1/4W AXIAL","","1000","0","0.01017","10.17"
"19","1000","CF14JT1K00CT-ND","CF14JT1K00","RES 1K OHM 5% 1/4W AXIAL","","1000","0","0.01017","10.17"
"20","1000","RNF14FTD243RCT-ND","RNF14FTD243R","RES 243 OHM 1% 1/4W AXIAL","","1000","0","0.01555","15.55"
"21","1000","S100HCT-ND","CFM12JT100R","RES 100 OHM 5% 1/2W AXIAL","","1000","0","0.01231","12.31"
"22","1000","CF14JT10R0CT-ND","CF14JT10R0","RES 10 OHM 5% 1/4W AXIAL","","1000","0","0.01017","10.17"
"23","1000","CF14JT33K0CT-ND","CF14JT33K0","RES 33K OHM 5% 1/4W AXIAL","","1000","0","0.01017","10.17"
"24","1000","CF14JT10K0CT-ND","CF14JT10K0","RES 10K OHM 5% 1/4W AXIAL","","1000","0","0.01017","10.17"
"25","1000","S75KQCT-ND","CFM14JT75K0","RES 75K OHM 5% 1/4W AXIAL","","1000","0","0.01124","11.24"
"26","1000","CF14JT680RCT-ND","CF14JT680R","RES 680 OHM 5% 1/4W AXIAL","","1000","0","0.01017","10.17"
"27","1000","CF14JT470RCT-ND","CF14JT470R","RES 470 OHM 5% 1/4W AXIAL","","1000","0","0.01017","10.17"
"28","1000","CF14JT560KCT-ND","CF14JT560K","RES 560K OHM 5% 1/4W AXIAL","","1000","0","0.01017","10.17"
"29","1000","CF14JT1M00CT-ND","CF14JT1M00","RES 1M OHM 5% 1/4W AXIAL","","1000","0","0.01017","10.17"
"30","1000","CF14JT6K80CT-ND","CF14JT6K80","RES 6.8K OHM 5% 1/4W AXIAL","","1000","0","0.01017","10.17"
"31","25","PTD901-2015K-B502-ND","PTD901-2015K-B502","POT 5K OHM 1/20W CARBON LINEAR","","25","0","1.71480","42.87"
"32","10","EG5012-ND","WBL2UEEGBQR05CLR","SWITCH PUSH DPDT 300MA 30V","","10","0","3.77000","37.70"
"33","2","296-2063-5-ND","CD4072BE","IC GATE OR 2CH 4-INP 14DIP","","2","0","0.88000","1.76"
"34","25","296-3518-5-ND","CD4069UBE","IC INVERTER 6CH 1-INP 14DIP","","25","0","0.72960","18.24"
"35","25","296-2066-ND","CD4081BE","IC GATE AND 4CH 2-INP 14DIP","","25","0","0.74480","18.62"
"36","5","EG5419-ND","100SP1T2B4M7QE","SWITCH TOGGLE SPDT 5A 120V","","5","0","4.08000","20.40"
